name,description,synonyms,github-discussion-number,stage,public,expected-number-of-records,frequency-of-updates,prioritised,datasets,specification,useful-links,legislation,slug,blocked-reason,os-declaration,tags
Further education,"Non-advanced courses taken after the period of compulsory education. Primarily taught to those aged 16 and over in further education colleges, work-based learning, and adult and community learning institutions",,165,Backlog,True,,,False,,,,,further-education,,,amenity;connectivity;local plan
Agricultural land classification,A system that grades the quality of land for agricultural use,,67,On the platform,True,1826,Unknown,False,https://github.com/digital-land/specification/blob/main/content/dataset/agricultural-land-classification.md,,"[{'link_url': 'https://naturalengland-defra.opendata.arcgis.com/datasets/Defra::provisional-agricultural-land-classification-alc-england/about', 'link_text': 'National dataset documentation page'}, {'link_url': 'https://services.arcgis.com/JJzESW51TqeY9uat/arcgis/rest/services/Provisional Agricultural Land Classification (ALC) (England)/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson', 'link_text': 'URL of national dataset'}]",https://www.gov.uk/guidance/natural-environment,agricultural-land-classification,,,constraint;environmental;local plan;policies map
Drinking water safeguard zone,Drinking Water Groundwater Safeguard Zones (SgZs) are established around public water supplies where additional pollution control measures are needed.,Drinking Water Groundwater Safeguard Zones (SgZs) are established around public water supplies where additional pollution control measures are needed.,151,Backlog,True,,,False,,,"[{'link_url': 'https://public.tableau.com/views/SWHertsDigitalPlacePortrait/DASH_RiversandSurfaceWater?%3AshowVizHome=no', 'link_text': 'SWHerts public tableau'}]",,drinking-water-safeguard-zone,,,constraint;controlled waters;environmental
Topography,Data describing the relief of the land needed to remove steep or inaccessible sites otherwise unsuitable for development.,,266,Backlog,True,,,False,,,,,topography,,,constraint
Planning application submissions,Working towards a set of data specifications that define what needs to be included when submitting a planning application,Planning application data specifications,98,Co-design,True,,,True,,,"[{'link_url': 'https://design.planning.data.gov.uk/advisory-group', 'link_text': 'Advisory group updates'}, {'link_url': 'https://docs.google.com/spreadsheets/d/1MfoIIZBU3cSIhk8awT3f8fv7j_AETT7PLslTJaoa_0Y/edit?usp=sharing', 'link_text': 'Module tracker (where is each specification)'}, {'link_url': 'https://github.com/digital-land/planning-application-data-specification', 'link_text': 'Planning application data specification (GitHub)'}]",,planning-application-submissions,,,planning permission
Planning applications & decisions,Records of applications for development and the associated decisions,,25,Co-design,True,,Daily,True,https://github.com/digital-land/specification/blob/main/content/dataset/planning-application-category.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/planning-application-condition.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/planning-application-document.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/planning-application-log.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/planning-application-status.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/planning-application-type.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/planning-application.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/planning-decision-type.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/planning-decision.md?plain=1,https://digital-land.github.io/specification/specification/planning-application/,"[{'link_url': 'https://www.gov.uk/search-register-planning-decisions', 'link_text': 'Service: Search the register of planning decisions'}]",https://www.legislation.gov.uk/uksi/2015/595/article/40,planning-applications-decisions,,,planning permission
Planning conditions,Conditions attached to the granting of planning permission to ensure that the development can take place where otherwise it would have been necessary to refuse planning permission,Conditional planning consent,40,Co-design,True,,Daily,True,https://github.com/digital-land/specification/blob/main/content/dataset/planning-condition-purpose.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/planning-condition-target.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/planning-condition-type.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/planning-condition.md?plain=1,https://digital-land.github.io/specification/specification/planning-condition/,"[{'link_url': 'https://www.gov.uk/guidance/use-of-planning-conditions', 'link_text': 'Planning conditions guidance'}, {'link_url': 'https://miro.com/app/board/uXjVNRvkj-0=/', 'link_text': 'Draft data model board'}, {'link_url': 'https://assets.publishing.service.gov.uk/media/5a78f5ba40f0b62b22cbe28a/324923.pdf', 'link_text': 'Use of conditions in planning permission (Circular 11/95)'}, {'link_url': 'https://docs.google.com/document/d/1WjLD8vTEGJXG2jn0UIAnC0xR20pon6XyMdybRtBtlLA/edit?usp=sharing', 'link_text': 'Early research notes'}, {'link_url': 'https://docs.google.com/document/d/1rHFtLB_gsJkukzjlpwrTej7eTDP5sPeNt1ftPxxGy1A/edit?usp=sharing', 'link_text': 'Draft user needs 2023'}, {'link_url': 'https://docs.google.com/spreadsheets/d/1vv9Tz92gKgK4llHGpxeO4w29qEGf8xBMxQfFhSbU4F0/edit?usp=sharing', 'link_text': 'Data template and example'}]",,planning-conditions,,,local land charge;planning permission
Air quality management areas,Areas where air pollution levels have exceeded the national air quality objectives,Air quality management locations;AQMA,55,On the platform,True,643,Ad hoc,False,https://github.com/digital-land/specification/blob/main/content/dataset/air-quality-management-area.md?plain=1,,"[{'link_url': 'https://docs.google.com/document/d/1TU0-gSBKGoc6XJMtm_ccB1W3z2zb_1SvVakfn2yiE4w/edit#heading=h.9rwg3m580tpf', 'link_text': 'Fact sheet url'}]",https://www.legislation.gov.uk/ukpga/1995/25/contents,air-quality-management-areas,,"{'status': 'Unknown', 'further_information_url': ''}",environmental;local information;local plan;policies map
World heritage sites,"A natural or man-made site, area, or structure that is protected because of its international importance",,291,On the platform,True,28,Ad hoc,False,https://github.com/digital-land/specification/blob/main/content/dataset/world-heritage-site-buffer-zone.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/world-heritage-site.md?plain=1,,,,world-heritage-sites,,,constraint;footnote 7;heritage;local plan
Public rights of way (prow),Specific routes the public have a legal right to use across land that may be owned by a private individual,,295,Co-design,True,,,False,,,,https://www.legislation.gov.uk/ukpga/2000/37/contents,public-rights-of-way,,,connectivity;constraint;infrastructure;local land charge
Existing housing stock,"To determine the minimum number of homes needed, strategic policies should be informed by a local housing need assessment, conducted using the standard method in national planning practice guidance. The standard method is a calculation informed by existing housing stock and affordability.",,308,Co-design,True,,Annually,False,,,"[{'link_url': 'https://www.gov.uk/government/statistical-data-sets/live-tables-on-dwelling-stock-including-vacants', 'link_text': 'Live tables on dwelling stock'}]",,existing-housing-stock,,,data;housing supply and delivery
Central activities zone,Central areas of London with implications for planning designated by the Greater London Authority (GLA),,310,On the platform,True,,Ad hoc,False,https://github.com/digital-land/specification/blob/main/content/dataset/central-activities-zone.md?plain=1,,"[{'link_url': 'https://www.london.gov.uk/programmes-strategies/planning/implementing-london-plan/london-plan-guidance-and-spgs/central-activities-zone#:~:text=of%20the%20CAZ.-,What%20is%20the%20Central%20Activities%20Zone%3F,its%20shopping%2C%20culture%20and%20heritage.', 'link_text': 'Central Activities Zone'}, {'link_url': 'https://www.london.gov.uk/sites/default/files/caz_spg_final_v4.pdf', 'link_text': 'Supplementary Planning Guidance'}, {'link_url': 'https://www.london.gov.uk/programmes-strategies/planning/london-plan/past-versions-and-alterations-london-plan/london-plan-2004', 'link_text': 'London Plan 2004'}, {'link_url': 'https://www.london.gov.uk/sites/default/files/2022-11/CLFJ9889-Future-actions-221122-WEB_optimised.pdf', 'link_text': 'CAZ Futures Action Plan'}]",,central-activty-zones,,,local plan;policies map
Flood risk zones 3b,"Flood risk zone 3b, or the 'functional floodplain' is land where water has to flow or be stored in times of flooding, often to protect downstream communities from flooding.",,322,Screen,True,,,False,,,"[{'link_url': 'https://www.gov.uk/guidance/flood-risk-assessment-in-flood-zones-2-and-3', 'link_text': 'Flood risk assessment zones 2 + 3 guidance'}, {'link_url': 'https://www.gov.uk/guidance/flood-risk-and-coastal-change', 'link_text': 'Flood risk guidance'}, {'link_url': 'https://docs.google.com/document/d/1a458xs4QgOG-WDKXyNzz3vPVLcAFh9jobIUn4wcgBTc/edit?usp=sharing', 'link_text': 'Design process document'}]",,flood-risk-zones-3b,,,constraint;environmental;footnote 7;local plan;policies map
Road classification,"The system of roads classification that all UK roads (excluding motorways) fall into - A roads, B roads, classified unnumbered, unclassified",Classified roads,294,Screen,True,,,False,,,"[{'link_url': 'https://docs.google.com/document/d/199-f6cigd4WcQm2jFDlb7qt3HrriLPkvY95qNzbQ-34/edit#heading=h.lb9do641w06g', 'link_text': 'Fact sheet url'}]",,road-classification,,,connectivity;infrastructure;local land charge
Neighbourhood development order,Communities can grant planning permission through Neighbourhood Development Orders for specific development which complies with the order.,,299,Backlog,True,,,False,,,,,neighbourhood-development-order,,,local plan
Mining and ground stability,Potential ground stability hazards from mining activities,,301,Screen,True,,,False,https://www.gov.uk/guidance/using-coal-mining-information,,"[{'link_url': 'https://www.gov.uk/guidance/using-coal-mining-information', 'link_text': 'National dataset documentation page'}]",https://www.legislation.gov.uk/uksi/2014/3248/made,mining-and-ground-stability,,,constraint;development risk
Certificate of immunity,A guarantee that a building or buildings will not be newly listed or given a building preservation notice for the next 5 years,COI,93,On the platform,True,190,Fortnightly,False,https://github.com/digital-land/specification/blob/main/content/dataset/certificate-of-immunity.md?plain=1,,"[{'link_url': 'https://historicengland.org.uk/listing/protect-historic-places/building-preservation-notices-and-certificates-of-immunity/#COIs', 'link_text': 'Guidance on applying to Historic England'}]",https://www.legislation.gov.uk/ukpga/1990/9/contents,certificate-of-immunity,,,heritage;opportunity
Affordability index,"To determine the minimum number of homes needed, strategic policies should be informed by a local housing need assessment, conducted using the standard method in national planning practice guidance. The standard method is a calculation informed by existing housing stock and affordability.",,284,Backlog,True,,,False,,,,,affordability-index,,,housing supply and delivery
Safeguarded land,A planning mechanism to make sure land which has been identified for development in the future is protected from conflicting development,,293,Screen,True,,,False,,,"[{'link_url': 'https://docs.google.com/document/d/1BrSkKUzocPAV1OlMkZC0kwIgKWg2W5vq22i4vjN38T0/edit#heading=h.lb9do641w06g', 'link_text': 'Fact sheet url'}]",,safeguarded-land,,,constraint;local plan;safeguarded land
Local housing need,Housing need is an unconstrained assessment of the minimum number of homes needed in an area. Assessing housing need is the first step in the process of deciding how many homes need to be planned for.,Housing numbers;Housing targets,92,Backlog,True,,,False,,,,,local-housing-need,,,data;housing supply and delivery
Authority monitoring reports (amrs),"Local planning authorities must publish information at least annually, monitoring their progress on various planning activities, such as Local Plan preparation, activities relating to the duty to cooperate, indicators in the plan, and policies which are not being implemented.",Annual Monitoring Report,314,Co-design,True,,Annually,False,,,,,annual-monitoring-reports,,,local plan
Parliamentary constituencies,Specific geographical areas that are represented by each MP in the House of Commons,,298,Research,True,,,False,,,"[{'link_url': 'https://beta.ordnancesurvey.co.uk/products/boundary-line', 'link_text': 'National dataset documentation page'}]",,parliamentary-constituencies,,,boundary
Archaeological notification area (ana),"A designated zone where there is known or suspected archaeological interest, requiring additional consideration during the planning process.",,324,Backlog,True,,,False,,,,,archaeological-notification-area,,,amenity
Supplementary plans,"Through the LURA, supplementary plans were introduced (as a replacement for 'supplementary planning documents'. Supplementary plans are only able to cover specific topics, must now go through examination, and as such, carry more weight.",,287,Backlog,True,,,False,,,,,supplementary-plans,,,local plan
Local listed building consent orders,"Local Listed Building Consent Orders allow a Local Planning Authority (LPA) to grant listed building consent for an extended period for works of any description for the alteration or extension of groups of listed buildings in all or part of their area, or buildings of a particular description in
their area.",,302,Backlog,True,,,False,,,"[{'link_url': 'https://historicengland.org.uk/images-books/publications/drawing-up-local-listed-building-consent-order-advice-note-6/heag009-listed-building-consent-order-an6/', 'link_text': 'Drawing up a Local Listed Building Consent Order Historic England Advice Note 6'}]",,locally-listed-building-consent-orders,,,data
Health and safety executive consultation zones,"The Health and Safety Executive (HSE) sets the consultation zone around major hazard sites and major accident hazard pipelines, after assessing the risks and likely effects of major accidents",Safety hazard areas,305,Screen,True,,,False,,,"[{'link_url': 'https://docs.google.com/document/d/1YgFbQ_-ye98hrGYQg9j5HXtPeVrr8Zcx_08NHAlWe6c/edit', 'link_text': 'Fact sheet url'}]",,health-and-safety-executive-consultation-zones,,,constraint;development risk;policies map
Nationally significant infrastructure projects (nsip),"Major infrastructure projects such as new harbours, roads, power generating stations (including offshore wind farms) and electricity transmission lines, which require a type of consent known as ‘development consent’",NSIP,54,On the platform,True,,Ad hoc,False,https://github.com/digital-land/specification/blob/main/content/dataset/infrastructure-project-decision.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/infrastructure-project-document-type.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/infrastructure-project-document.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/infrastructure-project-event.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/infrastructure-project-log.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/infrastructure-project-type.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/infrastructure-project.md?plain=1,https://digital-land.github.io/specification/specification/infrastructure-project/,"[{'link_url': 'https://www.gov.uk/guidance/guidance-on-procedural-requirements-for-major-infrastructure-projects', 'link_text': 'NSIP guidance'}]",,nationally-significant-infrastructure-projects,,,nsip;policies map
Special areas of conservation,An area containing wildlife or marine life habitats and species that need conservation,Protected sites,290,On the platform,True,1911,Ad hoc,False,https://github.com/digital-land/specification/blob/main/content/dataset/special-area-of-conservation.md?plain=1,,"[{'link_url': 'https://www.gov.uk/guidance/duty-to-protect-conserve-and-restore-european-sites', 'link_text': 'SAC guidance'}]",https://www.legislation.gov.uk/uksi/2017/1012/contents/made,special-areas-of-conservation,,,bng;constraint;environmental;footnote 7;local plan;policies map
Local authority district,The geographic area that a local government body is responsible for,,36,On the platform,True,361,Unknown,False,https://github.com/digital-land/specification/blob/main/content/dataset/local-authority-district.md?plain=1,,,,local-authority-district,,,boundary;local plan
Heritage coast,A stretch of undeveloped coast designated for conservation,Protected sites,303,On the platform,True,32,Ad hoc,False,https://github.com/digital-land/specification/blob/main/content/dataset/heritage-coast.md?plain=1,,,,heritage-coast,,,constraint;environmental;footnote 7;heritage;landscape;local plan
Design codes,A Design Code is a set of design requirements providing specific parameters for the physical development of a site or area. They set expectations of design quality for any upcoming development.,Design Guides,27,Test and iterate,True,,Ad hoc,False,https://github.com/digital-land/specification/blob/main/content/dataset/design-code-area-type.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/design-code-area.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/design-code-characteristic.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/design-code-rule-category.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/design-code-rule.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/design-code-status.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/design-code.md?plain=1,https://digital-land.github.io/specification/specification/design-code/,"[{'link_url': 'https://www.gov.uk/guidance/creating-a-design-code', 'link_text': 'Design code guidance'}, {'link_url': 'https://app.mural.co/t/mhclg2837/m/mhclg2837/1709140526813/9a28b5a76405c33dbb1568a2870a5e6057bf0b91?sender=u254215e050d2f98c69580938', 'link_text': 'Draft data model (living document)'}, {'link_url': 'https://design-code-prototype.planning-data.dev/', 'link_text': 'Design code library proof of concept'}, {'link_url': 'https://www.local.gov.uk/sites/default/files/documents/DLUHC%20PAS%20LURB%20Design%20Code%20presentation.pdf', 'link_text': 'Background on design code policy'}, {'link_url': 'https://docs.google.com/spreadsheets/d/1oLuL8rQ3yBz0fzycDZQczLxFZ-PpAKzNaG2swrRPF1E/edit?usp=sharing', 'link_text': 'Design code template spreadsheet'}]",https://www.legislation.gov.uk/ukpga/2023/55/contents/enacted,design-codes,,,local plan;policies map
Greenbelt,An area of open land around a city that cannot be built on,Green belt,45,On the platform,True,181,Ad hoc,True,https://github.com/digital-land/specification/blob/main/content/dataset/green-belt-core.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/green-belt.md?plain=1,,"[{'link_url': 'https://www.gov.uk/guidance/green-belt', 'link_text': 'Greenbelt guidance'}]",,greenbelt,,,constraint;footnote 7;landscape;local plan;policies map
Permitted development rights,The right to carry out certain building works and changes of use without the need for a full planning application,,39,On the platform,True,100,Quarterly,False,https://github.com/digital-land/specification/blob/main/content/dataset/permitted-development-right-part.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/permitted-development-right.md?plain=1,,"[{'link_url': 'https://www.gov.uk/government/publications/permitted-development-rights-for-householders-technical-guidance', 'link_text': 'Permitted development rights for householders guidance'}, {'link_url': 'https://www.planning.data.gov.uk/dataset/permitted-development-right', 'link_text': 'Permitted development right dataset'}]",https://www.legislation.gov.uk/uksi/2015/596/schedule/2,permitted-development-rights,,,opportunity
Special protection areas,An area containing bird habitats and species that need conservation,Protected sites,289,On the platform,True,1079,Ad hoc,False,https://github.com/digital-land/specification/blob/main/content/dataset/special-protection-area.md?plain=1,,"[{'link_url': 'https://www.gov.uk/guidance/duty-to-protect-conserve-and-restore-european-sites', 'link_text': 'SPA guidance'}]",https://www.legislation.gov.uk/uksi/2017/1012/contents/made,special-protection-areas,,,bng;constraint;environmental;footnote 7;local plan;policies map
Local plans,,Development plans;Local plans and timetables,97,Test and iterate,True,,,True,https://github.com/digital-land/specification/blob/main/content/dataset/local-plan.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/local-plan-document.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/local-plan-boundary.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/local-plan-timetable.md?plain=1,https://digital-land.github.io/specification/specification/local-plan/,"[{'link_url': 'https://design.planning.data.gov.uk/planning-consideration/development-plans-and-timetables', 'link_text': 'Development plans consideration'}, {'link_url': 'https://docs.google.com/document/d/1QERjoyZ-7oZkhNdxRmUXDVhCfxZj105SGmEaWUX9uYI/edit?usp=sharing', 'link_text': 'Local plan data collection - summary and challenges'}]",,local-plans,,,local plan
Listed building outlines,The boundary of the area relating to a listed building which is protected because it has special architectural or historic interest,,44,On the platform,True,800000,Fortnightly,True,https://github.com/digital-land/specification/blob/main/content/dataset/listed-building-grade.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/listed-building-outline.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/listed-building.md?plain=1,https://digital-land.github.io/specification/specification/listed-building/,"[{'link_url': 'https://docs.google.com/document/d/1BoTm7kmESHZLBNJibuvdVaMsF3odKsKGLXlPnf-8gFY/edit?usp=sharing', 'link_text': 'Design process document'}, {'link_url': 'https://docs.google.com/document/d/1SJBxZ_pKY1BL9aTckboKS6u6nqwZJOk4_buY9SKJ3Xg/edit', 'link_text': 'Data dependency document'}, {'link_url': 'https://historicengland.org.uk/listing/apply-for-listing/listing-process/', 'link_text': 'The listing process (Historic England)'}, {'link_url': 'https://app.mural.co/t/mhclg2837/m/mhclg2837/1712065005247/3ff6509868c8d96c9665debd82d8f6c1ef627897?sender=u1cae178c0a712eade24c2472', 'link_text': 'Listed buildings process map'}]",https://www.legislation.gov.uk/ukpga/1990/9/contents,listed-buildings,,"{'status': 'Presumption to publish', 'further_information_url': 'https://github.com/digital-land/data-standards-backlog/discussions/44#discussioncomment-10187427'}",constraint;footnote 7;heritage;local land charge;local plan;policies map
Housing numbers,Number of new homes the government aims to build per year,,56,Archived,True,,,False,,,"[{'link_url': 'https://app.mural.co/t/mhclg2837/m/mhclg2837/1706095948277/891b2a8b49ac90e143ea03e40ffd70134227e490?sender=u0a3f3dbf2e64a1ee0ea83028', 'link_text': 'Early stage model (mural)'}]",,housing-numbers,"Housing numbers covers a lot of different considerations, all related to housing need, targets and delivery. We have, therefore, spit this into separate considerations to investigate. More details in the notes.",,local plan
"Gypsy, roma & traveller sites","An area of land where gypsy, Roma and traveller communities live which may be owned and managed privately or by the council",,35,Co-design,True,,Unknown,False,https://github.com/digital-land/specification/blob/main/content/dataset/gypsy-and-traveller-site.md?plain=1,,"[{'link_url': 'https://www.gov.uk/government/publications/planning-policy-for-traveller-sites', 'link_text': 'Planning policy for traveller sites'}]",,gypsy-roma-traveller-sites,Waiting for engagement on the [draft data model](https://miro.com/app/board/uXjVNIiMA2Y=/?share_link_id=116913957286).,,amenity;local plan;policies map
Local nature reserves,A protected area of land designated by a local authority because of its special natural interest or educational value,Protected sites,48,On the platform,True,2606,Ad hoc,False,https://github.com/digital-land/specification/blob/main/content/dataset/local-nature-reserve.md?plain=1,,"[{'link_url': 'https://naturalengland-defra.opendata.arcgis.com/datasets/Defra::local-nature-reserves-england/about', 'link_text': 'National dataset documentation page'}, {'link_url': 'https://services.arcgis.com/JJzESW51TqeY9uat/arcgis/rest/services/Local_Nature_Reserves_England/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson', 'link_text': 'URL of national dataset'}, {'link_url': 'https://docs.google.com/document/d/1ZObCVL1dGKVEgputfdwPs-Ih43UH5Mradk4zvteeA_Y/edit#heading=h.lb9do641w06g', 'link_text': 'Fact sheet url'}]",https://www.legislation.gov.uk/ukpga/Geo6/12-13-14/97/section/21,local-nature-reserves,,,constraint;environmental;local plan;policies map
Potential special protection areas,Sites on which Government has initiated public consultation on the scientific case for designation as a Special Protection Area,SPA;pSPA,320,Backlog,True,,,False,https://naturalengland-defra.opendata.arcgis.com/datasets/6c8aa0f765904a1ca95779b534852fa2_0/explore?location=54.778675%2C-3.701868%2C10.76,,,https://assets.publishing.service.gov.uk/media/67aafe8f3b41f783cca46251/NPPF_December_2024.pdf,potential-special-protection-areas,,,bng;constraint;environmental;footnote 7
Areas of outstanding natural beauty,Land protected by law to conserve and enhance its natural beauty,Protected sites; AONB; National Landscape;Areas of outstanding natural beauty,31,On the platform,True,34,Ad hoc,False,https://github.com/digital-land/specification/blob/main/content/dataset/area-of-outstanding-natural-beauty.md?plain=1,,"[{'link_url': 'https://naturalengland-defra.opendata.arcgis.com/datasets/areas-of-outstanding-natural-beauty-england', 'link_text': 'National dataset documentation page'}, {'link_url': 'https://opendata.arcgis.com/datasets/6f2ad07d91304ad79cdecd52489d5046_0.geojson', 'link_text': 'URL of national dataset'}]",https://www.legislation.gov.uk/ukpga/2000/37/contents,areas-of-outstanding-natural-beauty,,,constraint;footnote 7;landscape;local plan;policies map
Building preservation notices,A notice to stop un-listed buildings of special architectural or historic interest from being demolished or altered in a way that affects the character of the building,,312,On the platform,True,2,Fortnightly,False,https://github.com/digital-land/specification/blob/main/content/dataset/building-preservation-notice.md?plain=1,,,https://www.legislation.gov.uk/ukpga/1990/9/section/3,building-preservation-notices,,,constraint;heritage
"Open space, sports and recreation facilities, public rights of way and local green space","Open space, sports and recreation facilities, public rights of way, and local green space in planning - These interconnected elements support community well-being by enabling access to nature, encouraging active lifestyles, and protecting valued green areas through structured and informal use.",,319,Backlog,True,,,False,,,,,open-space-sports-and-recreation-facilities-public-rights-of-way-and-local-green-space,,,policies map
